,relation,freq
0,222,12195
1,122,7590
2,120,4929
3,129,3868
4,227,3280
5,112,3252
6,133,3170
7,212,2807
8,119,2340
9,97,2065
10,46,1924
11,256,1641
12,206,1534
13,241,1228
14,44,1129
15,104,1097
16,81,1090
17,203,1042
18,73,823
19,156,755
20,188,737
21,164,694
22,187,613
23,52,543
24,163,497
25,234,483
26,204,443
27,247,422
28,150,408
29,111,373
30,144,351
31,108,276
32,99,252
33,182,225
34,230,217
35,224,208
36,260,191
37,145,184
38,199,168
39,231,165
40,143,158
41,87,145
42,86,140
43,170,138
44,49,138
45,142,127
46,223,126
47,42,117
48,160,112
49,59,108
50,125,96
51,92,95
52,185,94
53,47,93
54,115,92
55,65,91
56,245,91
57,43,90
58,50,89
59,197,87
60,253,86
61,214,86
62,131,83
63,251,80
64,70,77
65,91,76
66,233,75
67,236,73
68,239,71
69,90,69
70,157,69
71,158,66
72,98,64
73,100,64
74,77,62
75,165,61
76,32,59
77,48,58
78,242,57
79,82,54
80,221,54
81,155,53
82,95,53
83,135,49
84,41,49
85,84,48
86,71,46
87,176,44
88,116,38
89,110,37
90,78,37
91,69,34
92,183,33
93,38,33
94,248,32
95,153,32
96,136,31
97,79,30
98,45,30
99,173,30
100,217,29
101,215,28
102,192,28
103,196,27
104,54,27
105,66,27
106,189,26
107,161,26
108,55,25
109,56,25
110,117,23
111,60,23
112,152,23
113,257,23
114,51,23
115,57,22
116,235,22
117,249,21
118,118,19
119,124,19
120,151,18
121,200,18
122,105,15
123,209,15
124,213,15
125,93,15
126,166,14
127,252,14
128,246,14
129,94,13
130,240,12
131,103,12
132,101,12
133,168,12
134,177,12
135,80,11
136,74,10
137,250,10
138,53,10
139,63,10
140,216,10
141,58,10
142,134,9
143,254,9
144,34,8
145,148,8
146,154,8
147,146,8
148,114,8
149,96,8
150,109,8
151,172,8
152,237,7
153,127,7
154,202,7
155,138,7
156,258,7
157,193,7
158,180,7
159,186,7
160,68,6
161,64,6
162,195,6
163,208,6
164,140,6
165,132,5
166,175,5
167,39,5
168,139,5
169,232,5
170,229,4
171,255,4
172,261,4
173,137,4
174,36,4
175,40,4
176,89,4
177,181,4
178,178,4
179,171,4
180,219,3
181,259,3
182,61,3
183,67,3
184,76,3
185,85,3
186,244,3
187,147,3
188,218,3
189,198,3
190,190,3
191,107,2
192,33,2
193,102,2
194,179,2
195,113,2
196,201,2
197,141,2
198,205,2
199,169,2
200,226,2
201,159,2
202,149,1
203,167,1
204,35,1
205,207,1
206,37,1
207,194,1
208,210,1
209,62,1
210,211,1
211,72,1
212,75,1
213,191,1
214,83,1
215,184,1
216,88,1
217,225,1
218,243,1
219,106,1
220,174,1
221,162,1
222,121,1
223,238,1
224,123,1
225,126,1
226,128,1
227,130,1
228,228,1
229,220,1
