head,relation,tail,time
South Korea,Criticize or denounce,North Korea,2014/5/13
Iran,Express intent to meet or negotiate,China,2014/2/2
Xi Jinping,Consult,Le Hong Anh,2014/8/28
Criminal (Somalia),"Abduct, hijack, or take hostage",Citizen (India),2014/10/31
Member of Legislative (Govt) (South Korea),Praise or endorse,Iran,2014/1/30
Angela Merkel,Engage in negotiation,Head of Government (Ukraine),2014/11/7
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014/5/17
Combatant (Al Qaeda),Use unconventional violence,Armed Rebel (Syria),2014/1/5
Head of Government (Qatar),Make statement,Qatar,2014/6/14
South Korea,"Arrest, detain, or charge with legal action",Citizen (South Korea),2014/11/5
Police (Australia),Use conventional military force,Citizen (Australia),2014/8/21
Afghanistan,Praise or endorse,Ashraf Ghani Ahmadzai,2014/5/31
Fumio Kishida,Express intent to meet or negotiate,Pham Binh Minh,2014/7/31
Police (Jamaica),"Arrest, detain, or charge with legal action",Children (Jamaica),2014/5/23
Yi Xianliang,Make statement,China,2014/8/4
High Ranking Military Personnel (Pakistan),Make statement,Militant (Taliban),2014/9/12
Lawyer/Attorney (Turkey),Complain officially,Citizen (Turkey),2014/6/24
Police (Australia),"Arrest, detain, or charge with legal action",Women (Australia),2014/8/18
Fula people,Criticize or denounce,Citizen (Nigeria),2014/2/10
Ayatollah Seyyed Ahmad Alamolhoda,Make statement,Iran,2014/7/13
Boko Haram,Use conventional military force,Citizen (Nigeria),2014/4/12
Bureaucrat (India),Impose administrative sanctions,Citizen (India),2014/9/28
Media (Africa),Consult,Ministry (South Africa),2014/11/27
South Sudan,Express intent to cooperate,Sudan,2014/3/20
North Atlantic Treaty Organization,Praise or endorse,Poland,2014/10/6
Head of Government (India),Make statement,China,2014/6/28
Cabinet / Council of Ministers / Advisors (United States),Appeal for de-escalation of military engagement,Hamas,2014/7/26
Iraq,Make statement,Iran,2014/12/29
South Korea,Sign formal agreement,North Korea,2014/4/9
Police (Philippines),Make statement,Military (Philippines),2014/3/12
Abdullah Abdullah,Sign formal agreement,Ashraf Ghani Ahmadzai,2014/12/1
Central Intelligence Agency,Attempt to assassinate,Kim Jong-Un,2014/12/12
Romania,Host a visit,Evangelos Venizelos,2014/2/20
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014/11/21
Japan,Praise or endorse,House of Representatives (Japan),2014/11/4
Ministry (Iran),Make statement,Morocco,2014/2/6
Canadian Armed Forces,Increase military alert status,Canada,2014/10/28
Afghanistan,"Arrest, detain, or charge with legal action",Indigenous People (Pakistan),2014/8/28
Iran,Host a visit,Sebastian Kurz,2014/4/28
Media (India),Consult,Head of Government (India),2014/12/31
Al Jazeera,Make statement,Qatar,2014/8/18
Sharad Pawar,Make statement,Employee (India),2014/11/20
Barack Obama,Consult,Xi Jinping,2014/8/25
Insurgent (Afghanistan),Use unconventional violence,Afghanistan,2014/3/21
Muhammadu Buhari,Make an appeal or request,Citizen (Nigeria),2014/10/23
Martin Lidegaard,Make a visit,Iran,2014/9/9
Other Authorities / Officials (United States),"Impose embargo, boycott, or sanctions",Business (Russia),2014/7/17
Doctors Without Borders,Provide economic aid,Myanmar,2014/7/24
John Kerry,Consult,Catherine Ashton,2014/11/4
Romania,Host a visit,Joseph Robinette Biden,2014/5/22
Police (Kenya),Express intent to cooperate,Citizen (Kenya),2014/7/3
Xi Jinping,Consult,Sergey Viktorovich Lavrov,2014/3/25
John Kerry,Make an appeal or request,Haider Al-Abadi,2014/8/12
Ministry (Nigeria),Make statement,Government (Nigeria),2014/9/30
Philippe Couillard,Express intent to engage in diplomatic cooperation (such as policy support),Kathleen Wynne,2014/11/21
Uighur (China),Make statement,China,2014/12/8
Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2014/11/27
Iran,Praise or endorse,Iraq,2014/8/13
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014/11/3
Morgan Tsvangirai,Make statement,Movement for Democratic Change,2014/4/29
William Ruto,Make statement,Government (Kenya),2014/11/7
M.K. Narayanan,Appeal for intelligence,Election Commission (India),2014/5/24
Qassim Atta,Make statement,Air Force (Iraq),2014/8/4
Sudan,Host a visit,Isaias Afewerki,2014/5/8
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014/8/6
Zhang Dejiang,Express intent to meet or negotiate,Mexico,2014/11/15
Lawyer/Attorney (Kenya),Demand,Citizen (Kenya),2014/3/26
Militant (Iraq),Carry out suicide bombing,Iraq,2014/5/22
Lower House of Parliament (Germany),Praise or endorse,Government (Germany),2014/11/28
Micky Rosenfeld,Make statement,Police (Israel),2014/11/26
Ma Xiaoguang,Make statement,China,2014/5/28
Iran,Express intent to provide material aid,Iraq,2014/9/21
John Kerry,Make an appeal or request,"Government (Palestinian Territory, Occupied)",2014/7/2
Frank Bainimarama,Make a visit,Fiji,2014/11/17
Pakistan Tehreek-e-Insaf,Grant diplomatic recognition,Legislature (Pakistan),2014/9/4
Uhuru Muigai Kenyatta,Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Kenya),2014/11/17
Protester (Indonesia),Demonstrate or rally,Police (Indonesia),2014/6/26
