head,relation,tail,time
South Korea,Criticize or denounce,North Korea,2014-05-13
Iran,Express intent to meet or negotiate,China,2014-02-02
Member of Legislative (Govt) (South Korea),Praise or endorse,Iran,2014-01-30
Angela Merkel,Engage in negotiation,Head of Government (Ukraine),2014-11-07
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-05-17
Combatant (Al Qaeda),Use unconventional violence,Armed Rebel (Syria),2014-01-05
South Korea,"Arrest, detain, or charge with legal action",Citizen (South Korea),2014-11-05
Police (Australia),Use conventional military force,Citizen (Australia),2014-08-21
Afghanistan,Praise or endorse,Ashraf Ghani Ahmadzai,2014-05-31
Fumio Kishida,Express intent to meet or negotiate,Pham Binh Minh,2014-07-31
Lawyer/Attorney (Turkey),Complain officially,Citizen (Turkey),2014-06-24
Police (Australia),"Arrest, detain, or charge with legal action",Women (Australia),2014-08-18
Fula people,Criticize or denounce,Citizen (Nigeria),2014-02-10
Boko Haram,Use conventional military force,Citizen (Nigeria),2014-04-12
Bureaucrat (India),Impose administrative sanctions,Citizen (India),2014-09-28
South Sudan,Express intent to cooperate,Sudan,2014-03-20
North Atlantic Treaty Organization,Praise or endorse,Poland,2014-10-06
Head of Government (India),Make statement,China,2014-06-28
Cabinet / Council of Ministers / Advisors (United States),Appeal for de-escalation of military engagement,Hamas,2014-07-26
Iraq,Make statement,Iran,2014-12-29
South Korea,Sign formal agreement,North Korea,2014-04-09
Police (Philippines),Make statement,Military (Philippines),2014-03-12
Abdullah Abdullah,Sign formal agreement,Ashraf Ghani Ahmadzai,2014-12-01
Romania,Host a visit,Evangelos Venizelos,2014-02-20
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-11-21
Canadian Armed Forces,Increase military alert status,Canada,2014-10-28
Iran,Host a visit,Sebastian Kurz,2014-04-28
Islamic Rebirth Party,Make a visit,Tatarstan,2014-03-21
Media (India),Consult,Head of Government (India),2014-12-31
Al Jazeera,Make statement,Qatar,2014-08-18
Sharad Pawar,Make statement,Employee (India),2014-11-20
Barack Obama,Consult,Xi Jinping,2014-08-25
Insurgent (Afghanistan),Use unconventional violence,Afghanistan,2014-03-21
Muhammadu Buhari,Make an appeal or request,Citizen (Nigeria),2014-10-23
Martin Lidegaard,Make a visit,Iran,2014-09-09
Doctors Without Borders,Provide economic aid,Myanmar,2014-07-24
John Kerry,Consult,Catherine Ashton,2014-11-04
Romania,Host a visit,Joseph Robinette Biden,2014-05-22
Police (Kenya),Express intent to cooperate,Citizen (Kenya),2014-07-03
Xi Jinping,Consult,Sergey Viktorovich Lavrov,2014-03-25
John Kerry,Make an appeal or request,Haider Al-Abadi,2014-08-12
Ministry (Nigeria),Make statement,Government (Nigeria),2014-09-30
Philippe Couillard,Express intent to engage in diplomatic cooperation (such as policy support),Kathleen Wynne,2014-11-21
Uighur (China),Make statement,China,2014-12-08
Militant (Somalia),Use unconventional violence,Al-Shabaab,2014-09-02
Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-11-27
Iran,Praise or endorse,Iraq,2014-08-13
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-11-03
Morgan Tsvangirai,Make statement,Movement for Democratic Change,2014-04-29
M.K. Narayanan,Appeal for intelligence,Election Commission (India),2014-05-24
Sudan,Host a visit,Isaias Afewerki,2014-05-08
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-08-06
Zhang Dejiang,Express intent to meet or negotiate,Mexico,2014-11-15
Lawyer/Attorney (Kenya),Demand,Citizen (Kenya),2014-03-26
Militant (Iraq),Carry out suicide bombing,Iraq,2014-05-22
Government (France),Threaten,Ministry (France),2014-03-12
Micky Rosenfeld,Make statement,Police (Israel),2014-11-26
Iran,Express intent to provide material aid,Iraq,2014-09-21
John Kerry,Make an appeal or request,"Government (Palestinian Territory, Occupied)",2014-07-02
Frank Bainimarama,Make a visit,Fiji,2014-11-17
Pakistan Tehreek-e-Insaf,Grant diplomatic recognition,Legislature (Pakistan),2014-09-04
Uhuru Muigai Kenyatta,Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Kenya),2014-11-17
Protester (Indonesia),Demonstrate or rally,Police (Indonesia),2014-06-26
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-03-07
France,Express intent to meet or negotiate,Iran,2014-09-03
Rafiq Hariri,Make a visit,Student (Lebanon),2014-04-13
Citizen (Malaysia),Criticize or denounce,National Front Malaysia,2014-02-25
China,Accuse,Japan,2014-08-06
John Kerry,Make statement,China,2014-10-27
Police (Kosovo),Investigate,Citizen (Kosovo),2014-01-28
China,Host a visit,Employee (Myanmar),2014-07-10
Imran Khan,Consult,Tahirul Qadri,2014-08-28
Federica Mogherini,Express intent to engage in diplomatic cooperation (such as policy support),Fumio Kishida,2014-09-22
Vitali Klitschko,Make an appeal or request,Head of Government (Ukraine),2014-02-18
Member of Legislative (Govt) (Nigeria),Reject,Democratic Party (Nigeria),2014-10-21
UN Security Council,Make statement,Sudan,2014-05-29
City Mayor (Venezuela),Make an appeal or request,Citizen (Venezuela),2014-05-25
Amr Mohammed Moussa,Make statement,Abdel Fattah Al-Sisi,2014-03-23
Police (Kenya),Accuse,Citizen (Kenya),2014-12-17
Jens Stoltenberg,Express intent to meet or negotiate,Arseniy Yatsenyuk,2014-12-13
Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Government (Nigeria),2014-10-21
Medical Personnel (India),Praise or endorse,Medical Association (India),2014-11-19
Suleiman Abba,Engage in symbolic act,Citizen (Nigeria),2014-08-06
John Kerry,Make a visit,Middle East,2014-09-11
Akitaka Saiki,Engage in negotiation,Cho Tai-young,2014-03-12
Sheikh Hasina Wajed,Make a visit,China,2014-06-12
Protester (Ukraine),"Defy norms, law",Police (Ukraine),2014-01-21
Citizen (Turkey),Use unconventional violence,Nationalist Movement Party,2014-01-27
Amnesty International,Make a visit,Iraq,2014-07-14
Prayuth Chan-ocha,Make a visit,Malaysia,2014-09-09
Afghanistan,Engage in negotiation,Sayed Fazlollah Wahidi,2014-04-18
Government (Mexico),Make statement,Criminal (Mexico),2014-10-22
Xi Jinping,Make a visit,Tajikistan,2014-11-07
Sheikh Hasina Wajed,Express intent to meet or negotiate,Japan,2014-05-26
Military (Lebanon),Make statement,Armed Band (Lebanon),2014-08-02
Afghanistan,Consult,Iran,2014-03-29
Military (South Sudan),Use conventional military force,South Sudan,2014-01-09
Fumio Kishida,Consult,Ri Su Yong,2014-08-12
Prayuth Chan-ocha,Engage in symbolic act,Xi Jinping,2014-12-24
Armed Band (Syria),Use unconventional violence,Activist (Syria),2014-09-12
Kim Jong-Un,Make a visit,North Korea,2014-11-15
Benjamin Netanyahu,Praise or endorse,Reuven Rivlin,2014-06-10
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-05-31
