head,relation,tail,time
South Korea,Criticize or denounce,North Korea,2014-05-13
Iran,Express intent to meet or negotiate,China,2014-02-02
Xi Jinping,Consult,Le Hong Anh,2014-08-28
Angela Merkel,Engage in negotiation,Head of Government (Ukraine),2014-11-07
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-05-17
Combatant (Al Qaeda),Use unconventional violence,Armed Rebel (Syria),2014-01-05
Fula people,Criticize or denounce,Citizen (Nigeria),2014-02-10
Media (Africa),Consult,Ministry (South Africa),2014-11-27
South Sudan,Express intent to cooperate,Sudan,2014-03-20
Iraq,Make statement,Iran,2014-12-29
South Korea,Sign formal agreement,North Korea,2014-04-09
Police (Philippines),Make statement,Military (Philippines),2014-03-12
Business (Russia),Consult,Head of Government (Pakistan),2014-12-10
Abdullah Abdullah,Sign formal agreement,Ashraf Ghani Ahmadzai,2014-12-01
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-11-21
Herve Ladsous,Consult,Nabih Berri,2014-06-25
Media (India),Consult,Head of Government (India),2014-12-31
Student (Yemen),Consult,Mohammad Javad Zarif,2014-05-31
Barack Obama,Consult,Xi Jinping,2014-08-25
Rodrigo Londoño-Echeverry,Sign formal agreement,National Liberation Army,2014-05-16
Muhammadu Buhari,Make an appeal or request,Citizen (Nigeria),2014-10-23
John Kerry,Consult,Catherine Ashton,2014-11-04
Police (Kenya),Express intent to cooperate,Citizen (Kenya),2014-07-03
Xi Jinping,Consult,Sergey Viktorovich Lavrov,2014-03-25
Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-11-27
Iran,Praise or endorse,Iraq,2014-08-13
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-11-03
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-08-06
Lawyer/Attorney (Kenya),Demand,Citizen (Kenya),2014-03-26
Uhuru Muigai Kenyatta,Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Kenya),2014-11-17
Main Opposition (Turkey),Consult,Abdullah Gül,2014-01-14
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-03-07
France,Express intent to meet or negotiate,Iran,2014-09-03
China,Accuse,Japan,2014-08-06
Victor Ponta,Consult,Victoria Nuland,2014-01-14
Imran Khan,Consult,Tahirul Qadri,2014-08-28
Federica Mogherini,Express intent to engage in diplomatic cooperation (such as policy support),Fumio Kishida,2014-09-22
Media (Africa),Consult,Citizen (Sudan),2014-08-25
Police (Kenya),Accuse,Citizen (Kenya),2014-12-17
Jens Stoltenberg,Express intent to meet or negotiate,Arseniy Yatsenyuk,2014-12-13
Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Government (Nigeria),2014-10-21
John Kerry,Make a visit,Middle East,2014-09-11
Akitaka Saiki,Engage in negotiation,Cho Tai-young,2014-03-12
Mohammed Qasim Fahim,Consult,Ashraf Ghani Ahmadzai,2014-02-26
Afghanistan,Engage in negotiation,Sayed Fazlollah Wahidi,2014-04-18
Business (Bahrain),Consult,Labor and Employment Ministry (Bahrain),2014-04-05
Afghanistan,Consult,Iran,2014-03-29
Fumio Kishida,Consult,Ri Su Yong,2014-08-12
Caroline Kennedy,Engage in negotiation,Keiji Furuya,2014-01-30
Student (Bahrain),Consult,Business (Bahrain),2014-04-08
Government (Burundi),Praise or endorse,UN Security Council,2014-04-10
Chuck Hagel,Consult,Chang Wanquan,2014-04-11
Edgars Rinkevics,Consult,Foreign Affairs (Hungary),2014-07-31
Media (India),Consult,Member of Parliament (India),2014-01-10
Government (Pakistan),Threaten,Imran Khan,2014-08-08
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-01-27
Le Hong Anh,Consult,Xi Jinping,2014-08-28
Citizen (Nigeria),Make empathetic comment,Government (Nigeria),2014-04-15
Haider Al-Abadi,Meet at a 'third' location,Middle East,2014-12-04
Tzipi Livni,Consult,Martin Indyk,2014-04-08
Government (Nigeria),Make statement,Ogbeni Rauf Aregbesola,2014-07-29
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria),2014-02-19
China,Consult,Japan,2014-12-28
South Korea,Make an appeal or request,North Korea,2014-12-22
Sergey Viktorovich Lavrov,Consult,Sergey Kuzhugetovich Shoygu,2014-03-13
Police (Australia),Accuse,Citizen (Australia),2014-06-03
Mohammad Javad Zarif,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-02-05
Secretariat (Nigeria),Accuse,Citizen (Nigeria),2014-10-30
Daniela Bobeva,Consult,Bulgarian National Radio,2014-02-14
Canada,Make an appeal or request,Foreign Affairs (Russia),2014-04-09
Haider Al-Abadi,Consult,Iran,2014-10-24
South Korea,Make an appeal or request,North Korea,2014-10-12
Lawmaker (Japan),Engage in negotiation,Iran,2014-12-21
Afghanistan,Engage in diplomatic cooperation,Iran,2014-04-23
Police (Belgium),Make statement,Lawyer/Attorney (Belgium),2014-05-24
Henry Kissinger,Consult,Abdel Fattah Al-Sisi,2014-09-23
Royal Administration (Saudi Arabia),Consult,Head of Government (Gambia),2014-03-18
Thailand,Express intent to cooperate,Bahrain,2014-10-21
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-10-15
Thief (India),Use unconventional violence,Men (India),2014-11-30
Imran Khan,Make statement,Tahirul Qadri,2014-09-22
France,Consult,Canada,2014-10-23
Victor Ponta,Engage in negotiation,Klaus Johannis,2014-11-11
Police (Australia),Demand,Citizen (Australia),2014-05-27
Mohammad Javad Zarif,Make statement,Iran,2014-03-10
Military Personnel - Special (Philippines),Use conventional military force,Moro Islamic Liberation Front,2014-11-14
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-08-18
Border Security Force,fight with small arms and light weapons,Criminal (Pakistan),2014-01-22
Citizen (Kenya),Make an appeal or request,Government (Kenya),2014-07-25
Citizen (Australia),fight with small arms and light weapons,Police (Australia),2014-11-26
City Mayor (New Zealand),Consult,Holding Company (New Zealand),2014-07-08
Citizen (South Korea),Ease administrative sanctions,South Korea,2014-07-01
Japan,Engage in negotiation,North Korea,2014-03-05
Tajikistan,Meet at a 'third' location,Tatarstan,2014-12-19
Raúl Castro,Consult,Barack Obama,2014-12-18
John Kerry,Make statement,Haider Al-Abadi,2014-09-10
Angela Merkel,Express intent to cooperate,Barack Obama,2014-08-29
Police (Australia),Make an appeal or request,Citizen (Australia),2014-07-13
Xi Jinping,Make statement,Military (China),2014-08-31
Hamas,Make statement,Benjamin Netanyahu,2014-08-02
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,North Atlantic Treaty Organization,2014-01-28
Pakistan Tehreek-e-Insaf,Express intent to meet or negotiate,Government (Pakistan),2014-09-03
Somali National Army,Use conventional military force,Al-Shabaab,2014-10-31
Xi Jinping,Consult,Yasuo Fukuda,2014-08-04
Foreign Affairs (Syria),Meet at a 'third' location,Iraq,2014-12-09
