head,relation,tail,time
Member of Legislative (Govt) (South Korea),Praise or endorse,Iran,2014-01-30
Police (Australia),Use conventional military force,Citizen (Australia),2014-08-21
High Ranking Military Personnel (Pakistan),Make statement,Militant (Taliban),2014-09-12
South Sudan,Express intent to cooperate,Sudan,2014-03-20
Head of Government (India),Make statement,China,2014-06-28
Iraq,Make statement,Iran,2014-12-29
Abdullah Abdullah,Sign formal agreement,Ashraf Ghani Ahmadzai,2014-12-01
Central Intelligence Agency,Attempt to assassinate,Kim Jong-Un,2014-12-12
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-11-21
John Kerry,Consult,Catherine Ashton,2014-11-04
John Kerry,Make an appeal or request,Haider Al-Abadi,2014-08-12
Philippe Couillard,Express intent to engage in diplomatic cooperation (such as policy support),Kathleen Wynne,2014-11-21
Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-11-27
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-11-03
M.K. Narayanan,Appeal for intelligence,Election Commission (India),2014-05-24
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-08-06
Protester (Indonesia),Demonstrate or rally,Police (Indonesia),2014-06-26
Police (Kenya),Accuse,Citizen (Kenya),2014-12-17
Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Government (Nigeria),2014-10-21
Akitaka Saiki,Engage in negotiation,Cho Tai-young,2014-03-12
Citizen (Turkey),Use unconventional violence,Nationalist Movement Party,2014-01-27
Sheikh Hasina Wajed,Express intent to meet or negotiate,Japan,2014-05-26
Benjamin Netanyahu,Praise or endorse,Reuven Rivlin,2014-06-10
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-05-31
John Kerry,Make a visit,Angola,2014-05-04
Edgars Rinkevics,Consult,Foreign Affairs (Hungary),2014-07-31
Ministry (South Africa),Praise or endorse,Government (South Africa),2014-11-17
Iraq,Host a visit,John Kerry,2014-06-23
Boko Haram,Make pessimistic comment,Citizen (Nigeria),2014-05-22
Tzipi Livni,Consult,Martin Indyk,2014-04-08
China,Consult,Japan,2014-12-28
Tahirul Qadri,"Protest violently, riot",Government (Pakistan),2014-08-09
Police (Australia),Accuse,Citizen (Australia),2014-06-03
Mohammad Javad Zarif,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-02-05
Armed Gang (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan),2014-11-29
Haider Al-Abadi,Consult,Iran,2014-10-24
Barack Obama,Demand,Iran,2014-07-17
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-10-15
Federica Mogherini,Make a visit,Poland,2014-11-06
Police (Australia),Demand,Citizen (Australia),2014-05-27
Police (Philippines),"Arrest, detain, or charge with legal action",Foreign Affairs (Italy),2014-04-07
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-08-18
Citizen (Kenya),Make an appeal or request,Government (Kenya),2014-07-25
China,Praise or endorse,Iraq,2014-02-23
Japan,Engage in negotiation,North Korea,2014-03-05
Police (Kenya),Impose administrative sanctions,Citizen (Kenya),2014-05-29
Raúl Castro,Consult,Barack Obama,2014-12-18
John Kerry,Make statement,Haider Al-Abadi,2014-09-10
William Ruto,Make statement,Government (Kenya),2014-06-03
Uganda People's Defence Force,"Arrest, detain, or charge with legal action",Al-Shabaab,2014-05-29
Anupong Paochinda,Make an appeal or request,Governor (Thailand),2014-11-24
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-03-24
Court Judge (United Kingdom),"Arrest, detain, or charge with legal action",Citizen (United Kingdom),2014-09-29
Sergey Viktorovich Lavrov,Consult,Børge Brende,2014-10-25
Guatemala,Express intent to cooperate,Mexico,2014-09-09
Barack Obama,Consult,Benjamin Netanyahu,2014-03-02
Human Rights Watch,Criticize or denounce,Other Authorities / Officials (Oman),2014-12-19
Police (Australia),Accuse,Citizen (Australia),2014-10-12
Catherine Ashton,Engage in negotiation,Mohammad Javad Zarif,2014-07-11
Protester (Hong Kong),Engage in material cooperation,Student (Hong Kong),2014-12-03
China,Sign formal agreement,Abdel Fattah Al-Sisi,2014-12-24
Court Judge (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-11-12
Barack Obama,Express intent to meet or negotiate,Mexico,2014-02-19
China,Consult,Japan,2014-10-27
Boko Haram,Use conventional military force,Citizen (Nigeria),2014-02-24
Abdullah Gül,Engage in diplomatic cooperation,Kuwait,2014-03-31
Xi Jinping,Consult,Barack Obama,2014-07-15
China,Make optimistic comment,Thailand,2014-07-11
Police (Australia),Use conventional military force,Citizen (Australia),2014-05-14
North Korea,Engage in negotiation,Japan,2014-03-31
Nuri al-Maliki,Make statement,Iraq,2014-01-13
Men (India),Use unconventional violence,Women (Denmark),2014-01-15
United Arab Emirates,Engage in diplomatic cooperation,Qatar,2014-11-18
Military (Turkey),Use tactics of violent repression,Protester (Turkey),2014-06-04
North Korea,"Return, release person(s)",Jeffrey Fowle,2014-10-23
Imran Khan,Consult,Tahirul Qadri,2014-08-29
South Korea,Express intent to cooperate,China,2014-04-12
Barack Obama,Express intent to cooperate economically,Vietnam,2014-02-24
Other Authorities / Officials (Mexico),Make statement,Criminal (Mexico),2014-10-14
Barack Obama,Express intent to cooperate,Angela Merkel,2014-03-08
Protester (Thailand),Impose restrictions on political freedoms,Thailand,2014-01-26
Umar al Bashir,Consult,Abdel Fattah Al-Sisi,2014-10-19
High Ranking Military Personnel (Malaysia),Consult,Police (Malaysia),2014-02-14
Citizen (Yemen),Accuse,Armed Rebel (Yemen),2014-02-06
Barack Obama,Make a visit,Malaysia,2014-04-25
Foreign Affairs (Argentina),Consult,Foreign Affairs (United States),2014-09-19
Abdullah Abdullah,Make a visit,Ashraf Ghani Ahmadzai,2014-07-16
Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Government (Nigeria),2014-06-17
Fumio Kishida,Express intent to engage in diplomatic cooperation (such as policy support),John Kerry,2014-08-09
Japan,Make a visit,China,2014-05-29
Ministry (Croatia),Make an appeal or request,Veterans (Croatia),2014-12-19
North Korea,fight with small arms and light weapons,South Korea,2014-07-14
Ministry (Nigeria),"Demand meeting, negotiation",Citizen (Nigeria),2014-03-21
Umar al Bashir,Make statement,Sudan,2014-04-02
Barack Obama,Discuss by telephone,Mexico,2014-06-20
Citizen (Kenya),Accuse,Government (Kenya),2014-11-24
Amr Mohammed Moussa,Consult,Abdel Fattah Al-Sisi,2014-02-12
Police (Kenya),Reject,Citizen (Kenya),2014-02-11
Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014-03-13
Angela Merkel,Demand,Yulia Tymoshenko,2014-02-23
Boko Haram,Use conventional military force,Military Personnel - Special (Nigeria),2014-05-28
North Korea,Deny responsibility,South Korea,2014-04-25
Militant (Iraq),Occupy territory,Iraq,2014-08-15
North Korea,Reject,Japan,2014-06-04
Mohammad Javad Zarif,Make statement,Cabinet / Council of Ministers / Advisors (United States),2014-02-05
Government (Nigeria),Accuse,Chibuike Rotimi Amaechi,2014-01-09
China,Express intent to engage in diplomatic cooperation (such as policy support),Malaysia,2014-05-30
Cabinet / Council of Ministers / Advisors (United States),Consult,Foreign Affairs (Russia),2014-03-15
Massoud Barzani,Consult,Legislature (Iraq),2014-07-04
