head,relation,tail,time
Japan,Host a visit,Yoshitaka Shindo,2014-01-01
Lawyer/Attorney (Turkey),Deny responsibility,Government Official (Turkey),2014-01-01
Government Official (Turkey),Criticize or denounce,Lawyer/Attorney (Turkey),2014-01-01
Afghanistan,Receive deployment of peacekeepers,Head of Government (Croatia),2014-01-01
Yoshitaka Shindo,Make a visit,Japan,2014-01-01
China,Engage in diplomatic cooperation,South Korea,2014-01-01
Head of Government (Croatia),Provide military protection or peacekeeping,Afghanistan,2014-01-01
South Korea,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-01-01
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-01-02
Bangladesh Nationalist Party,Express intent to meet or negotiate,Abdul Hamid,2014-01-02
China,Host a visit,Michael Sata,2014-01-02
Shimon Peres,Make a visit,Cabinet / Council of Ministers / Advisors (United States),2014-01-02
Abdul Hamid,Make statement,Bangladesh Nationalist Party,2014-01-02
Cabinet / Council of Ministers / Advisors (United States),Host a visit,Shimon Peres,2014-01-02
Benjamin Netanyahu,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-01-02
Cambodia,Engage in diplomatic cooperation,China,2014-01-02
Riek Machar,Make a visit,Ethiopia,2014-01-02
Middle East,Host a visit,John Kerry,2014-01-02
John Kerry,Engage in negotiation,Benjamin Netanyahu,2014-01-02
Government (Nigeria),Make pessimistic comment,Citizen (Nigeria),2014-01-02
John Kerry,Consult,Benjamin Netanyahu,2014-01-02
John Kerry,Express intent to meet or negotiate,Benjamin Netanyahu,2014-01-02
Benjamin Netanyahu,Engage in negotiation,John Kerry,2014-01-02
Michael Sata,Make a visit,China,2014-01-02
John Kerry,Make a visit,Middle East,2014-01-02
China,Express intent to engage in diplomatic cooperation (such as policy support),Cambodia,2014-01-02
Benjamin Netanyahu,Consult,John Kerry,2014-01-02
Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Benjamin Netanyahu,2014-01-02
Benjamin Netanyahu,Make a visit,John Kerry,2014-01-02
Ethiopia,Host a visit,Riek Machar,2014-01-02
Angola,Host a visit,Ministry (United States),2014-01-03
Afghanistan,Host a visit,Bismillah Khan Mohammadi,2014-01-03
South Korea,Make an appeal or request,North Korea,2014-01-03
Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-01-03
South Sudan,Make a visit,Ethiopia,2014-01-03
Ministry (United States),Make a visit,Angola,2014-01-03
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-01-03
Ethiopia,Host a visit,Riek Machar,2014-01-03
Pascal Affi N'Guessan,Make a visit,Niger,2014-01-03
Benjamin Netanyahu,Engage in negotiation,John Kerry,2014-01-03
Citizen (India),Criticize or denounce,Head of Government (India),2014-01-03
Police (Egypt),Use conventional military force,Protester (Egypt),2014-01-03
Government (Nigeria),Make an appeal or request,Medical Personnel (Nigeria),2014-01-03
South Korea,Reject,North Korea,2014-01-03
North Korea,Engage in diplomatic cooperation,South Korea,2014-01-03
Protester (Egypt),Demonstrate or rally,Police (Egypt),2014-01-03
Head of Government (India),Reject,Citizen (India),2014-01-03
Ethiopia,Host a visit,South Sudan,2014-01-03
Middle East,Host a visit,John Kerry,2014-01-03
John Kerry,Make a visit,Middle East,2014-01-03
Joseph Robinette Biden,Make a visit,Japan,2014-01-03
Bismillah Khan Mohammadi,Make a visit,Afghanistan,2014-01-03
Niger,Host a visit,Pascal Affi N'Guessan,2014-01-03
John Kerry,Express intent to meet or negotiate,Benjamin Netanyahu,2014-01-03
South Korea,Make pessimistic comment,North Korea,2014-01-03
Japan,Host a visit,Joseph Robinette Biden,2014-01-03
John Kerry,Consult,Benjamin Netanyahu,2014-01-03
