head,relation,tail
South Korea,Criticize or denounce,North Korea
Iran,Express intent to meet or negotiate,China
Member of Legislative (Govt) (South Korea),Praise or endorse,Iran
Angela Merkel,Engage in negotiation,Head of Government (Ukraine)
Citizen (Nigeria),Make an appeal or request,Member of the Judiciary (Nigeria)
Combatant (Al Qaeda),Use unconventional violence,Armed Rebel (Syria)
South Korea,"Arrest, detain, or charge with legal action",Citizen (South Korea)
Police (Australia),Use conventional military force,Citizen (Australia)
Afghanistan,Praise or endorse,Ashraf Ghani Ahmadzai
Fumio Kishida,Express intent to meet or negotiate,Pham Binh Minh
Lawyer/Attorney (Turkey),Complain officially,Citizen (Turkey)
Police (Australia),"Arrest, detain, or charge with legal action",Women (Australia)
Fula people,Criticize or denounce,Citizen (Nigeria)
Boko Haram,Use conventional military force,Citizen (Nigeria)
Bureaucrat (India),Impose administrative sanctions,Citizen (India)
South Sudan,Express intent to cooperate,Sudan
North Atlantic Treaty Organization,Praise or endorse,Poland
Head of Government (India),Make statement,China
Cabinet / Council of Ministers / Advisors (United States),Appeal for de-escalation of military engagement,Hamas
Iraq,Make statement,Iran
South Korea,Sign formal agreement,North Korea
Police (Philippines),Make statement,Military (Philippines)
Abdullah Abdullah,Sign formal agreement,Ashraf Ghani Ahmadzai
Romania,Host a visit,Evangelos Venizelos
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry
Canadian Armed Forces,Increase military alert status,Canada
Iran,Host a visit,Sebastian Kurz
Islamic Rebirth Party,Make a visit,Tatarstan
Media (India),Consult,Head of Government (India)
Al Jazeera,Make statement,Qatar
Sharad Pawar,Make statement,Employee (India)
Barack Obama,Consult,Xi Jinping
Insurgent (Afghanistan),Use unconventional violence,Afghanistan
Muhammadu Buhari,Make an appeal or request,Citizen (Nigeria)
Martin Lidegaard,Make a visit,Iran
Doctors Without Borders,Provide economic aid,Myanmar
John Kerry,Consult,Catherine Ashton
Romania,Host a visit,Joseph Robinette Biden
Police (Kenya),Express intent to cooperate,Citizen (Kenya)
Xi Jinping,Consult,Sergey Viktorovich Lavrov
John Kerry,Make an appeal or request,Haider Al-Abadi
Ministry (Nigeria),Make statement,Government (Nigeria)
Philippe Couillard,Express intent to engage in diplomatic cooperation (such as policy support),Kathleen Wynne
Uighur (China),Make statement,China
Militant (Somalia),Use unconventional violence,Al-Shabaab
Japan,Express intent to engage in diplomatic cooperation (such as policy support),China
Iran,Praise or endorse,Iraq
Citizen (Nigeria),Criticize or denounce,Government (Nigeria)
Morgan Tsvangirai,Make statement,Movement for Democratic Change
M.K. Narayanan,Appeal for intelligence,Election Commission (India)
Sudan,Host a visit,Isaias Afewerki
Citizen (Nigeria),Make an appeal or request,Government (Nigeria)
Zhang Dejiang,Express intent to meet or negotiate,Mexico
Lawyer/Attorney (Kenya),Demand,Citizen (Kenya)
Militant (Iraq),Carry out suicide bombing,Iraq
Government (France),Threaten,Ministry (France)
