relation,number of relation,number of symmetric,percentage
Make statement,6968,806,0.115671642
Consult,5309,4527,0.852702957
Make an appeal or request,2719,420,0.154468555
Express intent to meet or negotiate,2294,512,0.223190933
Praise or endorse,2211,210,0.094979647
Host a visit,1836,72,0.039215686
Make a visit,1811,98,0.054113749
Criticize or denounce,1619,270,0.166769611
Accuse,1217,210,0.172555464
"Arrest, detain, or charge with legal action",1135,8,0.007048458
Engage in negotiation,970,814,0.839175258
Use unconventional violence,879,120,0.136518771
Demand,771,86,0.11154345
Express intent to engage in diplomatic cooperation (such as policy support),721,222,0.307905687
Use conventional military force,695,68,0.097841727
Sign formal agreement,639,534,0.835680751
Express intent to cooperate,637,400,0.627943485
Engage in diplomatic cooperation,564,326,0.578014184
Reject,546,56,0.102564103
Make optimistic comment,457,50,0.10940919
Investigate,445,8,0.017977528
Discuss by telephone,374,330,0.882352941
fight with small arms and light weapons,362,96,0.26519337
Threaten,359,36,0.100278552
Make pessimistic comment,347,38,0.109510086
Engage in symbolic act,337,60,0.178041543
Appeal for diplomatic cooperation (such as policy support),291,10,0.034364261
Demonstrate or rally,256,2,0.0078125
Meet at a 'third' location,251,200,0.796812749
"Abduct, hijack, or take hostage",243,8,0.032921811
"Return, release person(s)",221,8,0.036199095
Make empathetic comment,186,6,0.032258065
Provide humanitarian aid,163,2,0.012269939
Reduce relations,143,18,0.125874126
Deny responsibility,138,2,0.014492754
Provide aid,125,2,0.016
Physically assault,119,16,0.134453782
Impose administrative sanctions,109,0,0
Bring lawsuit against,107,8,0.074766355
Occupy territory,103,0,0
"Protest violently, riot",100,0,0
Expel or deport individuals,100,0,0
Ease administrative sanctions,98,4,0.040816327
Rally support on behalf of,85,0,0
Cooperate economically,85,24,0.282352941
Confiscate property,78,0,0
Consider policy option,77,2,0.025974026
Yield,75,0,0
Complain officially,74,14,0.189189189
Mobilize or increase armed forces,72,0,0
Engage in material cooperation,72,24,0.333333333
Sexually assault,72,4,0.055555556
"Reject proposal to meet, discuss, or negotiate",71,2,0.028169014
Coerce,69,0,0
Cooperate militarily,68,22,0.323529412
Express intent to cooperate economically,66,24,0.363636364
Use tactics of violent repression,65,0,0
Threaten with military force,64,0,0
Reduce or break diplomatic relations,63,0,0
Express accord,62,10,0.161290323
Rally opposition against,60,6,0.1
Express intent to provide economic aid,60,0,0
Express intent to provide material aid,59,2,0.033898305
Appeal for intelligence,59,6,0.101694915
Provide economic aid,57,0,0
Provide military aid,56,2,0.035714286
Demand diplomatic cooperation (such as policy support),56,0,0
"Impose embargo, boycott, or sanctions",55,0,0
"Accuse of crime, corruption",55,0,0
Kill by physical assault,52,2,0.038461538
Demand change in leadership,51,2,0.039215686
Employ aerial weapons,50,0,0
Acknowledge or claim responsibility,49,0,0
Grant diplomatic recognition,48,14,0.291666667
Give ultimatum,46,0,0
Appeal for change in leadership,46,2,0.043478261
Express intent to provide military aid,44,0,0
"Reject plan, agreement to settle dispute",43,12,0.279069767
"Conduct suicide, car, or other non-military bombing",41,0,0
"Defy norms, law",41,0,0
Express intent to release persons or property,39,2,0.051282051
Share intelligence or information,37,6,0.162162162
Accuse of human rights abuses,37,0,0
Assassinate,36,0,0
Impose restrictions on political freedoms,36,0,0
Express intent to provide humanitarian aid,35,0,0
Retreat or surrender militarily,33,0,0
Carry out suicide bombing,33,0,0
Express intent to settle dispute,32,16,0.5
Refuse to yield,31,0,0
Appeal for de-escalation of military engagement,31,0,0
Appeal to engage in or accept mediation,30,0,0
Apologize,29,0,0
Appeal for release of persons or property,28,0,0
Appeal to others to meet or negotiate,27,0,0
Halt negotiations,24,10,0.416666667
Conduct strike or boycott,24,0,0
"Obstruct passage, block",23,0,0
Torture,23,0,0
Demonstrate for leadership change,22,0,0
Accede to demands for change in leadership,22,0,0
Defend verbally,21,0,0
Demonstrate military or police power,21,2,0.095238095
Appeal for judicial cooperation,20,0,0
"Declare truce, ceasefire",20,12,0.6
Increase military alert status,20,0,0
"Investigate crime, corruption",20,0,0
Appeal for military aid,19,0,0
Decline comment,19,0,0
Appeal for economic aid,17,0,0
Appeal for aid,17,0,0
Receive deployment of peacekeepers,17,0,0
Provide military protection or peacekeeping,17,0,0
"Appeal for change in institutions, regime",16,2,0.125
Refuse to release persons or property,16,0,0
fight with artillery and tanks,16,4,0.25
Express intent to de-escalate military engagement,15,0,0
Mediate,14,0,0
"Demand meeting, negotiation",14,0,0
Appeal for economic cooperation,14,2,0.142857143
"Impose blockade, restrict movement",14,0,0
Increase police alert status,13,0,0
"Accuse of espionage, treason",13,0,0
Express intent to mediate,13,0,0
Appeal for easing of administrative sanctions,13,0,0
Demand intelligence cooperation,13,0,0
Appeal for policy change,11,0,0
Mobilize or increase police power,11,0,0
Express intent to engage in material cooperation,10,4,0.4
Engage in mass killings,10,0,0
Appeal for material cooperation,10,0,0
Express intent to cooperate militarily,10,4,0.4
Appeal to others to settle dispute,10,0,0
