relation,number of relation,number of symmetric,percentage
Make statement,12622,2848,0.22563777531294565
Consult,8052,7250,0.9003974167908594
Make an appeal or request,5019,1885,0.37557282327156805
Express intent to meet or negotiate,4077,1459,0.35786117243070886
Host a visit,3424,234,0.0683411214953271
Make a visit,3394,267,0.07866823806717738
"Arrest, detain, or charge with legal action",3203,15,0.004683109584764283
Praise or endorse,2912,442,0.15178571428571427
Criticize or denounce,2406,757,0.31463009143807147
Accuse,2107,790,0.3749406739439962
Use unconventional violence,1929,408,0.2115085536547434
Use conventional military force,1644,170,0.10340632603406326
Engage in negotiation,1592,1429,0.8976130653266332
Express intent to cooperate,1265,975,0.7707509881422925
Demand,1152,211,0.1831597222222222
Express intent to engage in diplomatic cooperation (such as policy support),1116,518,0.46415770609318996
Engage in diplomatic cooperation,1096,817,0.7454379562043796
Sign formal agreement,1068,955,0.8941947565543071
Investigate,824,19,0.023058252427184466
Discuss by telephone,783,737,0.9412515964240102
Reject,764,167,0.21858638743455497
fight with small arms and light weapons,696,271,0.38936781609195403
Make optimistic comment,634,96,0.15141955835962145
Threaten,545,92,0.1688073394495413
Demonstrate or rally,503,2,0.003976143141153081
"Abduct, hijack, or take hostage",483,83,0.17184265010351968
Make pessimistic comment,448,76,0.16964285714285715
Meet at a 'third' location,434,381,0.8778801843317973
Engage in symbolic act,426,96,0.22535211267605634
Appeal for diplomatic cooperation (such as policy support),380,30,0.07894736842105263
"Return, release person(s)",357,13,0.036414565826330535
"Protest violently, riot",276,0,0.0
Provide humanitarian aid,252,6,0.023809523809523808
Make empathetic comment,232,12,0.05172413793103448
Use tactics of violent repression,217,0,0.0
Occupy territory,208,0,0.0
Physically assault,191,51,0.2670157068062827
Reduce relations,188,34,0.18085106382978725
Mobilize or increase armed forces,169,0,0.0
Deny responsibility,168,6,0.03571428571428571
Provide aid,158,2,0.012658227848101266
Ease administrative sanctions,146,4,0.0273972602739726
Bring lawsuit against,142,21,0.14788732394366197
Confiscate property,138,0,0.0
Expel or deport individuals,138,0,0.0
Impose administrative sanctions,133,0,0.0
Reduce or break diplomatic relations,132,0,0.0
Cooperate economically,117,46,0.39316239316239315
Sexually assault,112,17,0.15178571428571427
Complain officially,109,28,0.25688073394495414
"Impose embargo, boycott, or sanctions",98,0,0.0
Cooperate militarily,96,33,0.34375
Rally support on behalf of,96,0,0.0
Coerce,95,0,0.0
Yield,93,0,0.0
Express intent to cooperate economically,93,40,0.43010752688172044
"Reject proposal to meet, discuss, or negotiate",92,2,0.021739130434782608
Express intent to provide military aid,92,0,0.0
Threaten with military force,91,0,0.0
Consider policy option,90,2,0.022222222222222223
Provide military aid,88,4,0.045454545454545456
Employ aerial weapons,86,0,0.0
Engage in material cooperation,83,25,0.30120481927710846
Kill by physical assault,80,3,0.0375
Express accord,79,10,0.12658227848101267
Express intent to provide material aid,77,2,0.025974025974025976
Carry out suicide bombing,76,0,0.0
Appeal for intelligence,75,8,0.10666666666666667
Provide economic aid,71,0,0.0
Express intent to provide economic aid,70,0,0.0
"Conduct suicide, car, or other non-military bombing",69,0,0.0
Rally opposition against,68,11,0.16176470588235295
Demand diplomatic cooperation (such as policy support),66,0,0.0
Demand change in leadership,64,2,0.03125
"Accuse of crime, corruption",64,0,0.0
Acknowledge or claim responsibility,62,0,0.0
Express intent to release persons or property,61,7,0.11475409836065574
"Obstruct passage, block",58,0,0.0
"Defy norms, law",57,0,0.0
"Reject plan, agreement to settle dispute",55,21,0.38181818181818183
Retreat or surrender militarily,55,0,0.0
Express intent to settle dispute,54,35,0.6481481481481481
Impose restrictions on political freedoms,54,0,0.0
Grant diplomatic recognition,53,14,0.2641509433962264
Give ultimatum,52,0,0.0
Appeal for change in leadership,49,2,0.04081632653061224
Express intent to provide humanitarian aid,48,0,0.0
Assassinate,44,0,0.0
Accuse of human rights abuses,39,0,0.0
Share intelligence or information,38,6,0.15789473684210525
Refuse to yield,37,0,0.0
Appeal for de-escalation of military engagement,34,0,0.0
Appeal to engage in or accept mediation,33,0,0.0
Apologize,33,0,0.0
Conduct strike or boycott,32,0,0.0
fight with artillery and tanks,32,13,0.40625
Express intent to de-escalate military engagement,31,0,0.0
Demonstrate military or police power,30,4,0.13333333333333333
Appeal for release of persons or property,30,0,0.0
Torture,30,0,0.0
Accede to demands for change in leadership,29,0,0.0
Receive deployment of peacekeepers,28,0,0.0
Appeal to others to meet or negotiate,28,0,0.0
"Investigate crime, corruption",28,0,0.0
Increase military alert status,27,0,0.0
Demonstrate for leadership change,27,0,0.0
Halt negotiations,27,11,0.4074074074074074
Appeal for military aid,26,0,0.0
Defend verbally,25,0,0.0
Mobilize or increase police power,25,0,0.0
Increase police alert status,25,0,0.0
Appeal for judicial cooperation,23,0,0.0
Provide military protection or peacekeeping,23,0,0.0
Appeal for economic aid,23,0,0.0
"Declare truce, ceasefire",23,13,0.5652173913043478
Decline comment,22,0,0.0
Appeal for aid,22,0,0.0
"Ease economic sanctions, boycott, embargo",21,0,0.0
"Appeal for change in institutions, regime",20,2,0.1
Refuse to release persons or property,19,0,0.0
"Impose blockade, restrict movement",18,0,0.0
"Express intent to ease economic sanctions, boycott, or embargo",18,0,0.0
Mediate,15,0,0.0
Appeal for economic cooperation,15,3,0.2
Demand intelligence cooperation,15,0,0.0
"Demand meeting, negotiation",15,0,0.0
Express intent to mediate,14,0,0.0
Express intent to cooperate militarily,14,4,0.2857142857142857
"Accuse of espionage, treason",14,0,0.0
Appeal for easing of administrative sanctions,13,0,0.0
Engage in mass killings,12,0,0.0
Appeal for policy change,12,0,0.0
Appeal to others to settle dispute,12,0,0.0
