,relation,freq
0,64,36623
1,62,34312
2,79,18244
3,66,5562
4,60,4399
5,58,1408
6,61,1231
7,36,622
8,14,604
9,21,386
10,100,309
11,57,264
12,71,259
13,27,248
14,97,185
15,32,171
16,103,148
17,17,146
18,89,74
19,90,65
20,84,57
21,74,49
22,18,45
23,105,43
24,42,40
25,50,39
26,47,36
27,53,35
28,13,35
29,51,31
30,102,30
31,99,29
32,93,22
33,86,20
34,25,17
35,77,16
36,81,14
37,56,11
38,95,11
39,82,10
40,94,9
41,55,9
42,65,9
43,88,8
44,44,8
45,20,8
46,41,8
47,107,7
48,28,7
49,19,7
50,38,7
51,72,6
52,106,6
53,59,6
54,39,5
55,85,5
56,104,5
57,92,5
58,68,4
59,69,4
60,16,4
61,26,4
62,98,4
63,31,4
64,80,4
65,15,3
66,24,3
67,29,3
68,34,3
69,37,3
70,12,3
71,78,3
72,45,3
73,63,2
74,75,2
75,23,2
76,22,2
77,40,2
78,48,2
79,33,2
80,49,2
81,54,2
82,35,2
83,87,2
84,67,2
85,70,2
86,73,1
87,52,1
88,83,1
89,76,1
90,96,1
91,91,1
92,46,1
93,43,1
94,30,1
