,relation,freq
0,64,19615
1,62,19286
2,79,7209
3,60,1965
4,66,1248
5,58,671
6,61,584
7,36,369
8,21,356
9,14,285
10,71,238
11,97,185
12,27,138
13,100,129
14,57,113
15,32,105
16,103,87
17,17,83
18,50,39
19,18,38
20,90,38
21,84,37
22,89,34
23,74,31
24,53,29
25,105,27
26,13,22
27,51,20
28,102,18
29,99,17
30,42,14
31,93,12
32,47,11
33,86,10
34,77,10
35,81,10
36,82,9
37,65,8
38,20,6
39,56,6
40,55,6
41,88,6
42,95,6
43,28,5
44,44,5
45,92,5
46,19,5
47,94,5
48,107,4
49,80,4
50,41,4
51,38,4
52,72,4
53,78,3
54,85,3
55,104,3
56,106,3
57,12,3
58,39,3
59,45,3
60,37,3
61,59,3
62,68,3
63,67,2
64,69,2
65,15,2
66,16,2
67,23,2
68,24,2
69,26,2
70,98,2
71,29,2
72,31,2
73,34,2
74,75,2
75,35,2
76,54,2
77,40,2
78,87,1
79,48,1
80,76,1
81,63,1
82,22,1
83,52,1
84,25,1
85,49,1
86,46,1
87,96,1
88,30,1
89,83,1
90,33,1
91,73,1
92,91,1
93,43,1
94,70,1
